username,num_follows
AshAEgan,1877
katherineykwu,1590
dberenzon,2032
willkantaros,694
mountainwaterpi,4581
katiewav,1777
DannySursock,857
LexSokolin,7800
willwangtf,5173
YorkZhu2,1228
LucidMasi,5082
aweissman,2514
fredwilson,1351
nickgrossman,3971
tekinsalimi,712
sia_kazi,1647
gpl_94,1017
alexhevans,1502
stefancoh,1786
kevinzhang,1427
theo_diamandis,908
mandyzcamp,1447
GuilleAngeris,809
eclecticcapital,2277
matthewabeck1,2021
mikojava,1982
hkunimitsu,6740
ryu1,584
EvansHuangfu,2375
ETM612,1378
BronheimDaniel,4426
emmacui,1664
theshikhai,1319
zhao_eth,2016
Issa_Issa_Z,2838
_LewisHarland_,1816
spencernoon,162
caseykcaruso,2608
